group	seed	epoch	precision	recall	ndcg
unknown	baseline_seed2020	0	0.00018755	0.00053749	0.00040836
unknown	baseline_seed2020	10	0.03667024	0.12013993	0.10055132
unknown	baseline_seed2020	20	0.03967446	0.13133384	0.10883036
unknown	baseline_seed2020	30	0.0419787	0.13920676	0.11537508
unknown	baseline_seed2020	40	0.04348751	0.14436693	0.12010255
unknown	baseline_seed2020	50	0.0447535	0.14868784	0.12388069
unknown	baseline_seed2020	60	0.04583696	0.15272791	0.12775767
unknown	baseline_seed2020	70	0.04666421	0.15538629	0.13008775
unknown	baseline_seed2020	80	0.04764385	0.1588197	0.13290288
unknown	baseline_seed2020	90	0.04831368	0.16129019	0.13483361
unknown	baseline_seed2020	100	0.04905218	0.16340899	0.13692552
unknown	baseline_seed2020	110	0.04962657	0.16554733	0.13869389
unknown	baseline_seed2020	120	0.05002177	0.16646391	0.13997695
unknown	baseline_seed2020	130	0.05054257	0.16797654	0.14134072
unknown	baseline_seed2020	140	0.05099806	0.16942754	0.14256568
unknown	baseline_seed2020	150	0.05127437	0.17041577	0.14360195
unknown	baseline_seed2020	160	0.05158751	0.171479	0.14461157
unknown	baseline_seed2020	170	0.05178009	0.17198466	0.1451536
unknown	baseline_seed2020	180	0.05200114	0.17246517	0.14575242
unknown	baseline_seed2020	190	0.05230926	0.1731734	0.146693
unknown	baseline_seed2020	200	0.05259227	0.17426658	0.14731611
unknown	baseline_seed2020	210	0.05275638	0.17485041	0.14763176
unknown	baseline_seed2020	220	0.05284346	0.17483377	0.14816385
unknown	baseline_seed2020	230	0.05311977	0.175683	0.14864614
unknown	baseline_seed2020	240	0.05304274	0.17541505	0.1484632
unknown	baseline_seed2020	250	0.0531901	0.17546997	0.14866618
unknown	baseline_seed2020	260	0.05343124	0.17623571	0.14929067
unknown	baseline_seed2020	270	0.05365564	0.17685479	0.14973759
unknown	baseline_seed2020	280	0.05375444	0.17719925	0.15001778
unknown	baseline_seed2020	290	0.05364224	0.17671648	0.15005906
