group	seed	epoch	precision	recall	ndcg
unknown	simgcl_seed2020	0	0.00018755	0.00053749	0.00040836
unknown	simgcl_seed2020	10	0.04996148	0.16143731	0.13652148
unknown	simgcl_seed2020	20	0.05061123	0.16340812	0.13748616
unknown	simgcl_seed2020	30	0.04953949	0.159138	0.13361903
unknown	simgcl_seed2020	40	0.0477326	0.1521622	0.12767693
unknown	simgcl_seed2020	50	0.04616518	0.14547845	0.1222595
unknown	simgcl_seed2020	60	0.04490756	0.14080946	0.11799789
unknown	simgcl_seed2020	70	0.04389611	0.136757	0.11453302
unknown	simgcl_seed2020	80	0.04326479	0.13424873	0.11214133
unknown	simgcl_seed2020	90	0.04255141	0.13188671	0.11002607
unknown	simgcl_seed2020	100	0.04200549	0.12985673	0.10801604
unknown	simgcl_seed2020	110	0.04163373	0.1286149	0.10692619
unknown	simgcl_seed2020	120	0.04123685	0.12741406	0.10566793
unknown	simgcl_seed2020	130	0.04094548	0.12626141	0.10483972
unknown	simgcl_seed2020	140	0.0408316	0.1260225	0.10457995
unknown	simgcl_seed2020	150	0.04054692	0.12511443	0.10373828
unknown	simgcl_seed2020	160	0.04040123	0.12506503	0.10356092
unknown	simgcl_seed2020	170	0.04033592	0.12480326	0.10342892
unknown	simgcl_seed2020	180	0.0402187	0.12447611	0.10296673
unknown	simgcl_seed2020	190	0.04009646	0.12411834	0.10270528
unknown	simgcl_seed2020	200	0.03997924	0.12377809	0.10235061
unknown	simgcl_seed2020	210	0.04003282	0.12412078	0.1025279
unknown	simgcl_seed2020	220	0.03996249	0.12372803	0.10234401
unknown	simgcl_seed2020	230	0.03991225	0.12356838	0.10246481
unknown	simgcl_seed2020	240	0.03981512	0.12363203	0.10224369
unknown	simgcl_seed2020	250	0.03976656	0.12328091	0.10199834
unknown	simgcl_seed2020	260	0.03986034	0.12374039	0.10214344
unknown	simgcl_seed2020	270	0.0399022	0.1237627	0.10211283
unknown	simgcl_seed2020	280	0.03982852	0.12358028	0.10213918
unknown	simgcl_seed2020	290	0.03976154	0.12358484	0.10208113
